 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 



                               Node( 91)

         time         h        theta    Temp   
         28.0090      -35.19  0.3336   20.000
         28.0128      -35.20  0.3336   20.000
         28.0176      -35.21  0.3336   20.000
         28.0239      -35.23  0.3335   20.000
         28.0320      -35.25  0.3335   20.000
         28.0426      -35.28  0.3334   20.000
         28.0564      -35.32  0.3333   20.000
         28.0743      -35.37  0.3332   20.000
         28.0976      -35.43  0.3330   20.000
         28.1279      -35.52  0.3328   20.000
         28.1673      -35.63  0.3326   20.000
         28.2185      -35.77  0.3322   20.000
         28.2850      -35.95  0.3318   20.000
         28.3744      -36.19  0.3312   20.000
         28.4787      -36.46  0.3305   20.000
         28.6090      -36.80  0.3297   20.000
         28.8045      -37.27  0.3285   20.000
         29.0000      -37.71  0.3274   20.000
         29.0010      -37.72  0.3274   20.000
         29.0023      -37.72  0.3274   20.000
         29.0040      -37.73  0.3274   20.000
         29.0062      -37.73  0.3274   20.000
         29.0090      -37.74  0.3274   20.000
         29.0128      -37.75  0.3273   20.000
         29.0176      -37.76  0.3273   20.000
         29.0239      -37.78  0.3273   20.000
         29.0320      -37.80  0.3272   20.000
         29.0426      -37.83  0.3272   20.000
         29.0564      -37.86  0.3271   20.000
         29.0743      -37.91  0.3270   20.000
         29.0976      -37.97  0.3269   20.000
         29.1279      -38.04  0.3267   20.000
         29.1673      -38.14  0.3265   20.000
         29.2185      -38.27  0.3263   20.000
         29.2850      -38.43  0.3259   20.000
         29.3744      -38.66  0.3255   20.000
         29.4787      -38.92  0.3249   20.000
         29.6090      -39.24  0.3242   20.000
         29.8045      -39.72  0.3232   20.000
         30.0000      -40.20  0.3222   20.000
         30.0010      -40.21  0.3222   20.000
         30.0023      -40.21  0.3222   20.000
         30.0040      -40.21  0.3222   20.000
         30.0062      -40.22  0.3222   20.000
         30.0090      -40.23  0.3222   20.000
         30.0128      -40.24  0.3222   20.000
         30.0176      -40.25  0.3222   20.000
         30.0239      -40.26  0.3221   20.000
         30.0320      -40.28  0.3221   20.000
         30.0426      -40.31  0.3220   20.000
         30.0564      -40.34  0.3220   20.000
         30.0743      -40.39  0.3219   20.000
         30.0976      -40.44  0.3217   20.000
         30.1279      -40.52  0.3216   20.000
         30.1673      -40.61  0.3214   20.000
         30.2185      -40.74  0.3211   20.000
         30.2850      -40.90  0.3208   20.000
         30.3516      -41.06  0.3205   20.000
         30.4442      -41.28  0.3200   20.000
         30.5368      -41.49  0.3196   20.000
         30.6526      -41.76  0.3190   20.000
         30.7684      -42.03  0.3185   20.000
         30.8842      -42.29  0.3179   20.000
         31.0000      -42.54  0.3174   20.000
         31.0010      -42.54  0.3174   20.000
