 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          5.1304        0.00  0.3500   20.000  0.1183E-09          0.00  0.3500   20.000  0.9261E-08          0.00  0.3500   20.000  0.4695E-06          0.00  0.3500   20.000  0.9109E-06          0.00  0.3500   20.000  0.2715E-06
          5.2038        0.00  0.3500   20.000  0.1000E-09          0.00  0.3500   20.000  0.7974E-08          0.00  0.3500   20.000  0.4292E-06          0.00  0.3500   20.000  0.9582E-06          0.00  0.3500   20.000  0.3088E-06
          5.2772        0.00  0.3500   20.000  0.8452E-10          0.00  0.3500   20.000  0.6863E-08          0.00  0.3500   20.000  0.3916E-06          0.00  0.3500   20.000  0.1002E-05          0.00  0.3500   20.000  0.3485E-06
          5.3506        0.00  0.3500   20.000  0.7145E-10          0.00  0.3500   20.000  0.5905E-08          0.00  0.3500   20.000  0.3566E-06          0.00  0.3500   20.000  0.1042E-05          0.00  0.3500   20.000  0.3904E-06
          5.4240        0.00  0.3500   20.000  0.6041E-10          0.00  0.3500   20.000  0.5080E-08          0.00  0.3500   20.000  0.3241E-06          0.00  0.3500   20.000  0.1079E-05          0.00  0.3500   20.000  0.4341E-06
          5.4974        0.00  0.3500   20.000  0.5108E-10          0.00  0.3500   20.000  0.4368E-08          0.00  0.3500   20.000  0.2941E-06          0.00  0.3500   20.000  0.1110E-05          0.00  0.3500   20.000  0.4794E-06
          5.5708        0.00  0.3500   20.000  0.4320E-10          0.00  0.3500   20.000  0.3755E-08          0.00  0.3500   20.000  0.2664E-06          0.00  0.3500   20.000  0.1137E-05          0.00  0.3500   20.000  0.5259E-06
          5.6442        0.00  0.3500   20.000  0.3654E-10          0.00  0.3500   20.000  0.3227E-08          0.00  0.3500   20.000  0.2410E-06          0.00  0.3500   20.000  0.1160E-05          0.00  0.3500   20.000  0.5732E-06
          5.7176        0.00  0.3500   20.000  0.3092E-10          0.00  0.3500   20.000  0.2773E-08          0.00  0.3500   20.000  0.2176E-06          0.00  0.3500   20.000  0.1177E-05          0.00  0.3500   20.000  0.6208E-06
          5.7910        0.00  0.3500   20.000  0.2616E-10          0.00  0.3500   20.000  0.2382E-08          0.00  0.3500   20.000  0.1962E-06          0.00  0.3500   20.000  0.1189E-05          0.00  0.3500   20.000  0.6684E-06
          5.8644        0.00  0.3500   20.000  0.2214E-10          0.00  0.3500   20.000  0.2046E-08          0.00  0.3500   20.000  0.1767E-06          0.00  0.3500   20.000  0.1197E-05          0.00  0.3500   20.000  0.7155E-06
          5.9378        0.00  0.3500   20.000  0.1874E-10          0.00  0.3500   20.000  0.1757E-08          0.00  0.3500   20.000  0.1589E-06          0.00  0.3500   20.000  0.1199E-05          0.00  0.3500   20.000  0.7617E-06
