

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   152.00000 -0.293590E+02  0.000000E+00 -0.293590E+02  0.000000E+00 -0.270094E+02   -104.379      0.000    -80.848     152
   153.00000 -0.292830E+02  0.000000E+00 -0.292830E+02  0.000000E+00 -0.270827E+02   -106.908      0.000    -78.635     153
   154.00000 -0.300170E+02  0.000000E+00 -0.300170E+02  0.000000E+00 -0.271585E+02    -45.241      0.000    -76.493     154
   155.00000 -0.311700E+02  0.000000E+00 -0.311700E+02  0.000000E+00 -0.272391E+02    -32.038      0.000    -74.854     155
   156.00000 -0.314750E+02  0.000000E+00 -0.314750E+02  0.000000E+00 -0.273257E+02    -44.929      0.000    -73.671     156
   157.00000 -0.313930E+02  0.000000E+00 -0.313930E+02  0.000000E+00 -0.274182E+02    -64.160      0.000    -72.499     157
   158.00000 -0.318760E+02  0.000000E+00 -0.318760E+02  0.000000E+00 -0.275178E+02    -44.864      0.000    -70.587     158
   159.00000 -0.325430E+02  0.000000E+00 -0.325430E+02  0.000000E+00 -0.276294E+02    -38.411      0.000    -67.787     159
   160.00000 -0.325760E+02  0.000000E+00 -0.325760E+02  0.000000E+00 -0.277557E+02    -55.832      0.000    -64.683     160
   161.00000 -0.324420E+02  0.000000E+00 -0.324420E+02  0.000000E+00 -0.278997E+02    -73.737      0.000    -61.308     161
   162.00000 -0.327850E+02  0.000000E+00 -0.327850E+02  0.000000E+00 -0.280619E+02    -51.814      0.000    -58.306     162
   163.00000 -0.326630E+02  0.000000E+00 -0.326630E+02  0.000000E+00 -0.282511E+02    -76.404      0.000    -56.354     163
   164.00000 -0.328320E+02  0.000000E+00 -0.328320E+02  0.000000E+00 -0.284548E+02    -61.775      0.000    -55.319     164
end
